Date,Contributor,Amount,Recipient,Description
2025-12-31,F460ELINE2,50.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-12-30,AMALGAMATED BANK,14.0,"Yes on K, Ocean Beach Park for All Sponsored By Community Nonprofits",
2025-12-30,CHIME FINANCIAL,100000.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-12-23,"VISA, INC.",250000.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-12-23,OLSON REMCHO LLP,9098.25,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-12-22,"FAIRBANK, MASLIN, MAULLIN, METZ, & ASSOCIATES",46500.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-12-22,THEMATIC CAMPAIGNS,10000.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-12-22,POLITICAL DATA INTELLIGENCE,2800.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-12-22,S.E. OWENS & COMPANY,580.0,San Francisco Communities Against Displacement,
2025-12-17,ANOTHER PLANET ENTERTAINMENT LLC(GREGG PERLOFF),100000.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-11-26,AMALGAMATED BANK,14.0,"Yes on K, Ocean Beach Park for All Sponsored By Community Nonprofits",
2025-11-24,EMPIRE DISTRIBUTION INC.,100000.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-11-21,S.E. OWENS & COMPANY,500.0,San Francisco Communities Against Displacement,
2025-11-03,"FAIRBANK, MASLIN, MAULLIN, METZ, & ASSOCIATES",71000.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-11-03,OLSON REMCHO LLP,4614.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-11-03,OLSON REMCHO LLP,602.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-11-03,THEMATIC CAMPAIGNS,20000.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-11-03,THEMATIC CAMPAIGNS,10000.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-11-03,THEMATIC CAMPAIGNS,10000.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-10-29,AMALGAMATED BANK,14.0,"Yes on K, Ocean Beach Park for All Sponsored By Community Nonprofits",
2025-10-28,"COMMITTEE TO EXPAND THE MIDDLE CLASS ISSUES COMMITTEE, SPONSORED BY AIRBNB, INC.",500000.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-10-24,S.E. OWENS & COMPANY,550.0,San Francisco Communities Against Displacement,
2025-10-10,CHINATOWN COMMUNITY DEVELOPMENT CENTER,575.0,San Francisco Communities Against Displacement,
2025-09-26,AMALGAMATED BANK,14.0,"Yes on K, Ocean Beach Park for All Sponsored By Community Nonprofits",
2025-09-23,S.E. OWENS & COMPANY,475.0,San Francisco Communities Against Displacement,
2025-09-11,"NO ON A, STOP THE ENGARDIO RECALL",282.96,"Yes on K, Ocean Beach Park for All Sponsored By Community Nonprofits",VOTER DATA
2025-09-11,THEMATIC CAMPAIGNS,10000.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-09-11,"FAIRBANK, MASLIN, MAULLIN, METZ, & ASSOCIATES",47200.0,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
2025-09-10,OLSON REMCHO LLP,7859.25,"Daniel Lurie Ballot Measure Committee - Safe, Affordable MUNI for a Thriving San Francisco",
